Auction,Color,IsBadBuy,MMRCurrentAuctionAveragePrice,Size,TopThreeAmericanName,VehBCost,VehicleAge,VehOdo,WarrantyCost,WheelType
ADESA,SILVER,No,2403,MEDIUM,CHRYSLER,4140,8,74734,1689,Covers
ADESA,SILVER,Yes,1708,COMPACT,GM,2925,9,74145,1923,Covers
ADESA,SILVER,No,3745,MEDIUM,OTHER,6270,9,79419,869,Covers
ADESA,BLACK,Yes,5859,MEDIUM SUV,GM,8190,7,71671,2274,unkwnWheel
ADESA,GREY,No,7592,MEDIUM,CHRYSLER,7960,2,61996,1020,Covers
ADESA,BLUE,No,7862,MEDIUM,OTHER,8530,2,62801,728,Covers
ADESA,SILVER,No,4874,MEDIUM,FORD,5400,3,83667,983,Covers
ADESA,BROWN,No,5081,COMPACT,OTHER,5850,4,40307,482,Covers
ADESA,BLUE,No,5284,VAN,CHRYSLER,5750,5,86702,1763,Alloy
ADESA,SILVER,No,8440,LARGE,GM,8450,3,70819,1974,Covers
ADESA,GREY,No,5477,MEDIUM SUV,GM,6560,6,83241,2152,Alloy
ADESA,BLUE,No,3532,VAN,GM,5540,5,84788,5092,Alloy
ADESA,BEIGE,No,7700,MEDIUM SUV,CHRYSLER,8570,6,87192,1763,Alloy
ADESA,BLACK,No,6523,LARGE,GM,7360,5,68414,1703,Alloy
ADESA,GREY,No,5385,MEDIUM SUV,FORD,8730,6,73953,1740,Alloy
ADESA,BLUE,No,4297,MEDIUM,CHRYSLER,3565,4,103035,1450,Alloy
ADESA,BLUE,No,6217,COMPACT,GM,5890,3,49060,623,Alloy
ADESA,SILVER,No,4743,LARGE,GM,7315,4,65954,1703,Alloy
ADESA,BLUE,No,4407,MEDIUM,GM,7315,4,31845,702,Covers
ADESA,RED,No,6518,LARGE,GM,7515,3,73498,1974,Alloy
ADESA,SILVER,No,8172,SPECIALTY,CHRYSLER,8725,3,55135,1086,Alloy
ADESA,BLUE,No,8790,VAN,CHRYSLER,7515,3,83465,1763,Alloy
ADESA,SILVER,No,9205,LARGE,FORD,7515,2,85909,1633,Alloy
ADESA,BEIGE,No,5475,MEDIUM,OTHER,7915,5,76269,686,Alloy
ADESA,WHITE,No,10250,SPECIALTY,CHRYSLER,9825,3,71367,1389,Alloy
ADESA,WHITE,No,2578,COMPACT,GM,3090,6,84329,1543,Covers
ADESA,RED,No,7937,MEDIUM,CHRYSLER,6795,2,52656,754,Covers
ADESA,SILVER,No,6171,SMALL SUV,OTHER,6315,4,73643,920,Alloy
ADESA,SILVER,Yes,2884,MEDIUM,GM,4435,5,71669,1155,unkwnWheel
ADESA,WHITE,No,10723,LARGE,GM,7715,2,82456,2152,Alloy
ADESA,RED,No,10048,MEDIUM,OTHER,10730,2,69137,533,Covers
ADESA,BLUE,No,10342,SPECIALTY,CHRYSLER,9535,1,62888,1215,Covers
ADESA,BLUE,No,6417,MEDIUM,OTHER,6525,2,47866,482,Covers
ADESA,SILVER,Yes,5153,SMALL TRUCK,CHRYSLER,4200,8,75719,1806,Alloy
ADESA,GOLD,No,3544,MEDIUM,CHRYSLER,4715,6,57694,1086,Covers
ADESA,BLUE,No,3458,VAN,FORD,5220,6,80098,1633,Covers
ADESA,WHITE,No,4840,MEDIUM,GM,5920,6,80811,1373,Alloy
ADESA,WHITE,No,10016,MEDIUM,FORD,8005,3,62006,1118,Alloy
ADESA,RED,No,3133,COMPACT,CHRYSLER,3505,5,87274,723,Alloy
ADESA,WHITE,No,10119,SPECIALTY,CHRYSLER,7525,4,78724,1389,Covers
ADESA,WHITE,No,5418,MEDIUM,GM,5520,4,82541,853,Covers
ADESA,GREEN,No,5016,MEDIUM,CHRYSLER,5720,4,72383,1155,Alloy
ADESA,RED,No,2156,MEDIUM,OTHER,4315,6,65957,533,Alloy
ADESA,SILVER,Yes,4751,LARGE,GM,5690,5,89196,2152,Covers
ADESA,GREY,No,7448,SMALL SUV,CHRYSLER,8335,5,69795,825,Alloy
ADESA,GREY,No,5948,MEDIUM,OTHER,7525,5,84150,723,Alloy
ADESA,BLACK,No,7145,MEDIUM,CHRYSLER,7925,3,60644,1020,Alloy
ADESA,RED,No,4687,MEDIUM,OTHER,6225,4,54350,505,Covers
ADESA,BLUE,No,10425,SPECIALTY,OTHER,9225,3,59702,1003,Alloy
ADESA,BLUE,No,7412,SMALL SUV,OTHER,7335,4,82231,983,Alloy
ADESA,BLUE,No,5776,MEDIUM,GM,6935,4,67860,1118,Alloy
ADESA,GREY,No,7717,MEDIUM,CHRYSLER,8505,2,78545,1155,Covers
ADESA,SILVER,No,3939,VAN,CHRYSLER,5165,5,96374,1918,Alloy
ADESA,SILVER,No,3418,MEDIUM,GM,4465,8,80355,2712,Special
ADESA,BLACK,No,8307,MEDIUM SUV,GM,8155,4,88391,1243,Alloy
ADESA,SILVER,No,4154,MEDIUM,CHRYSLER,4410,5,61523,1215,Covers
ADESA,WHITE,No,5343,MEDIUM,CHRYSLER,5110,4,65420,1215,Covers
ADESA,GOLD,No,4597,MEDIUM,CHRYSLER,4100,4,104726,1450,Alloy
ADESA,SILVER,No,3405,LARGE,GM,5235,9,70411,2508,Alloy
ADESA,GREY,Yes,1761,MEDIUM,CHRYSLER,3265,8,84579,1543,unkwnWheel
ADESA,RED,Yes,6882,SPORTS,OTHER,7125,4,61508,923,unkwnWheel
ADESA,GOLD,No,2973,MEDIUM,FORD,4210,6,103219,1130,Alloy
ADESA,WHITE,Yes,2841,MEDIUM,GM,4265,7,95048,2651,Covers
ADESA,GOLD,No,5588,LARGE TRUCK,FORD,6090,5,84645,594,Alloy
ADESA,BEIGE,No,3581,MEDIUM,CHRYSLER,4965,6,87237,1503,Covers
ADESA,SILVER,No,7639,MEDIUM,GM,7805,3,70704,1038,Alloy
ADESA,BLACK,No,3554,MEDIUM,OTHER,6990,7,73728,1572,Alloy
ADESA,SILVER,No,4385,COMPACT,OTHER,5690,3,59609,505,Covers
ADESA,GREEN,No,7346,MEDIUM SUV,GM,7835,3,52811,1251,Alloy
ADESA,GREY,No,8020,LARGE,GM,8105,2,79812,1974,Covers
ADESA,BEIGE,No,8448,LARGE,GM,7190,2,90196,2351,Covers
ADESA,GREY,No,7780,MEDIUM,CHRYSLER,8635,2,55957,920,Covers
ADESA,BLUE,No,9839,VAN,CHRYSLER,8235,2,90294,1918,Covers
ADESA,BLUE,No,9602,VAN,CHRYSLER,8665,2,88717,1763,Alloy
ADESA,BLUE,No,4883,COMPACT,OTHER,4685,3,22500,462,Covers
ADESA,SILVER,No,5565,MEDIUM,OTHER,4910,2,41789,482,Covers
ADESA,GOLD,No,6868,SMALL SUV,CHRYSLER,7435,5,73767,686,Alloy
ADESA,RED,No,4584,SMALL SUV,CHRYSLER,7135,7,66489,930,Alloy
ADESA,WHITE,No,3907,MEDIUM,GM,4010,5,81705,1243,Alloy
ADESA,GREY,No,10332,MEDIUM SUV,OTHER,8550,2,39808,762,Alloy
ADESA,GREY,Yes,3910,MEDIUM,CHRYSLER,5335,5,58669,1086,Covers
ADESA,GREY,No,5276,MEDIUM SUV,CHRYSLER,8750,4,71529,1857,Alloy
ADESA,MAROON,No,6709,MEDIUM,GM,5510,3,81710,1373,Alloy
ADESA,SILVER,No,4573,LARGE,GM,6110,4,69019,1703,Covers
ADESA,MAROON,No,7101,LARGE TRUCK,FORD,9150,5,76764,803,Alloy
ADESA,GREY,No,6198,MEDIUM SUV,GM,8750,5,59260,920,Alloy
ADESA,ORANGE,Yes,5878,MEDIUM,GM,6540,3,66976,728,Alloy
ADESA,BLUE,No,5890,MEDIUM,OTHER,5115,2,55660,505,Covers
ADESA,BLUE,No,6467,SMALL SUV,FORD,7875,5,88279,1503,Alloy
ADESA,BLACK,No,6412,MEDIUM,GM,7050,3,68637,533,Alloy
ADESA,BLUE,Yes,2742,LARGE,GM,4150,9,93662,2939,Alloy
ADESA,SILVER,Yes,7331,LARGE,GM,7430,3,72335,1974,Alloy
ADESA,SILVER,No,10194,MEDIUM,CHRYSLER,8815,1,52308,920,Covers
ADESA,GREY,No,3117,VAN,GM,5350,6,81150,5092,Alloy
ADESA,SILVER,No,12568,LARGE TRUCK,OTHER,9450,3,93095,765,Alloy
ADESA,BLUE,Yes,3012,MEDIUM,CHRYSLER,5150,7,80013,1803,Covers
ADESA,WHITE,No,2653,VAN,FORD,4150,7,105082,2711,Alloy
ADESA,RED,No,4781,COMPACT,GM,5460,3,67558,728,Covers
ADESA,WHITE,No,4880,LARGE,FORD,5560,7,83694,894,Alloy
ADESA,GOLD,No,3905,LARGE,GM,4975,6,94361,2351,Alloy
ADESA,SILVER,No,7004,MEDIUM SUV,GM,7650,5,78096,1506,Alloy
ADESA,SILVER,No,5172,MEDIUM,FORD,5250,3,89308,983,Covers
ADESA,GREY,No,6957,MEDIUM SUV,CHRYSLER,10320,5,74188,1623,Alloy
ADESA,BLUE,No,10092,LARGE,GM,7570,1,78188,1974,Alloy
ADESA,GREY,No,8604,MEDIUM,GM,7125,2,60264,923,Covers
ADESA,GREY,No,8358,LARGE,GM,6875,3,84959,2152,Covers
ADESA,SILVER,Yes,4102,LARGE,GM,5025,5,82635,2152,Covers
ADESA,BLUE,No,7380,VAN,CHRYSLER,6095,4,79285,1623,Alloy
ADESA,BLACK,No,2889,COMPACT,FORD,4180,7,88953,1543,Covers
ADESA,BLACK,No,7128,LARGE,GM,7350,4,56924,1500,Covers
ADESA,RED,No,11394,MEDIUM,FORD,7750,3,80374,853,Alloy
ADESA,BLUE,No,3347,MEDIUM,GM,5795,6,82434,1113,Covers
ADESA,GREY,No,4774,COMPACT,OTHER,5115,7,70810,1689,Covers
ADESA,MAROON,No,7801,LARGE,GM,7550,2,85876,2152,Covers
ADESA,GREY,No,9566,MEDIUM,GM,8660,2,77984,1038,Covers
ADESA,BLUE,No,6261,LARGE,GM,7740,3,66147,1703,Alloy
ADESA,GOLD,No,4768,MEDIUM SUV,OTHER,5220,6,81341,1023,Alloy
ADESA,SILVER,No,6340,COMPACT,OTHER,6360,3,31859,462,Covers
ADESA,SILVER,No,5671,SPORTS,FORD,5520,5,70962,803,Alloy
ADESA,BLUE,No,8135,MEDIUM SUV,OTHER,7230,4,62934,630,Alloy
ADESA,RED,No,2799,SMALL SUV,OTHER,4510,8,69016,1125,Alloy
ADESA,WHITE,No,4100,VAN,FORD,4710,4,70144,1506,Covers
ADESA,SILVER,No,4585,SMALL SUV,FORD,6230,7,88148,1803,Alloy
ADESA,RED,No,3278,VAN,FORD,4200,7,97482,2506,Alloy
ADESA,GREEN,No,8575,LARGE SUV,FORD,9655,6,74185,1338,Alloy
ADESA,GREEN,Yes,3115,VAN,FORD,3940,7,89476,2322,unkwnWheel
ADESA,SILVER,No,2354,MEDIUM,OTHER,5735,7,75383,1103,Alloy
ADESA,BLUE,Yes,4661,MEDIUM,OTHER,5535,7,90067,1065,unkwnWheel
ADESA,BEIGE,Yes,6003,VAN,GM,7445,5,69642,1801,unkwnWheel
ADESA,WHITE,No,4778,COMPACT,OTHER,4225,3,61158,825,Covers
ADESA,RED,No,2399,MEDIUM,GM,5635,9,34154,1481,Alloy
ADESA,RED,No,5371,MEDIUM,OTHER,7145,6,87442,594,Alloy
ADESA,SILVER,Yes,3619,SPORTS,FORD,5735,8,79604,1103,unkwnWheel
ADESA,GOLD,No,2822,MEDIUM,OTHER,5155,7,61015,1028,Alloy
ADESA,RED,No,6687,SMALL TRUCK,GM,7375,6,81385,853,Alloy
ADESA,RED,No,8528,MEDIUM SUV,CHRYSLER,8045,6,92019,1918,Alloy
ADESA,WHITE,No,4632,LARGE TRUCK,CHRYSLER,7545,6,88401,983,Alloy
ADESA,RED,No,4065,MEDIUM SUV,GM,8755,8,47903,1134,Alloy
ADESA,RED,No,4504,COMPACT,GM,6345,4,48421,623,Covers
ADESA,GOLD,Yes,3604,VAN,CHRYSLER,4825,5,69675,1411,unkwnWheel
ADESA,GOLD,No,2707,MEDIUM,OTHER,3925,7,81385,894,Covers
ADESA,WHITE,No,3359,LARGE,GM,5535,9,74570,2274,Alloy
ADESA,GOLD,No,4308,MEDIUM,GM,6000,6,64617,1118,Alloy
ADESA,RED,No,2850,COMPACT,OTHER,4725,8,42193,923,Alloy
ADESA,SILVER,No,7130,MEDIUM SUV,GM,8175,4,75271,1389,Alloy
ADESA,SILVER,No,8419,LARGE,GM,8500,5,56051,1169,Alloy
ADESA,WHITE,No,5755,MEDIUM,GM,5700,4,82520,1373,Alloy
ADESA,GREY,No,5529,LARGE,GM,7000,5,70088,1974,Alloy
ADESA,GREY,No,2802,COMPACT,FORD,4200,7,59853,1220,Alloy
ADESA,WHITE,No,4173,VAN,FORD,4400,5,89572,1633,Covers
ADESA,GOLD,No,5288,MEDIUM,CHRYSLER,5100,5,77467,1389,Covers
ADESA,WHITE,No,7282,COMPACT,OTHER,5100,4,53952,754,Covers
ADESA,GREY,No,5026,MEDIUM SUV,CHRYSLER,6700,6,55140,1386,Alloy
ADESA,WHITE,Yes,6487,MEDIUM,GM,5300,3,72539,1038,Covers
ADESA,SILVER,No,6875,CROSSOVER,CHRYSLER,8235,4,62292,1215,Alloy
ADESA,GREY,No,8725,LARGE,GM,6100,4,76747,1974,Covers
ADESA,SILVER,No,4649,MEDIUM,OTHER,5500,4,32629,462,Covers
ADESA,NOT AVAIL,No,3934,MEDIUM,OTHER,4100,7,80006,894,Covers
ADESA,GOLD,No,3123,VAN,CHRYSLER,6000,7,63373,1711,Covers
ADESA,SILVER,No,4039,MEDIUM,GM,6100,5,57979,837,Covers
ADESA,SILVER,Yes,3554,VAN,CHRYSLER,5000,4,52314,1251,unkwnWheel
ADESA,GREEN,No,4423,MEDIUM,GM,4800,5,85833,853,Covers
ADESA,WHITE,No,5725,VAN,CHRYSLER,6400,4,69906,1411,Covers
ADESA,GREY,No,0,MEDIUM SUV,CHRYSLER,8500,3,81983,1503,Alloy
ADESA,GREEN,No,3024,MEDIUM,FORD,4700,5,87785,983,Alloy
ADESA,WHITE,Yes,2506,MEDIUM,CHRYSLER,5300,5,57286,920,Covers
ADESA,SILVER,No,4690,MEDIUM,CHRYSLER,5500,3,60081,1020,Alloy
ADESA,WHITE,No,2896,VAN,CHRYSLER,4100,7,98433,2218,Covers
ADESA,SILVER,No,6058,MEDIUM SUV,CHRYSLER,8500,5,75781,1389,Covers
ADESA,SILVER,No,5296,MEDIUM,GM,6500,3,57106,671,Covers
ADESA,SILVER,No,5173,COMPACT,OTHER,4200,2,80247,594,Covers
ADESA,WHITE,No,3240,VAN,FORD,4100,6,83071,2322,Covers
ADESA,BEIGE,No,1976,COMPACT,GM,3600,6,63108,1320,Covers
ADESA,WHITE,No,6114,SMALL SUV,CHRYSLER,6200,5,85021,983,Alloy
ADESA,GREEN,No,6329,MEDIUM,GM,7000,3,58196,1003,Alloy
ADESA,BLUE,No,8005,MEDIUM,CHRYSLER,7000,2,53536,920,Covers
ADESA,RED,No,6885,MEDIUM SUV,OTHER,7700,4,74910,686,Alloy
ADESA,BLUE,No,2903,MEDIUM,OTHER,5200,5,60334,533,Covers
ADESA,BLUE,No,2638,MEDIUM,OTHER,5500,4,32110,462,Covers
ADESA,BLUE,No,4801,MEDIUM SUV,FORD,5600,5,81423,1243,Alloy
ADESA,GREY,No,7219,MEDIUM SUV,GM,8100,4,83157,1243,Alloy
ADESA,BLUE,No,4017,MEDIUM,OTHER,5600,4,44065,482,Covers
ADESA,SILVER,No,6625,MEDIUM SUV,CHRYSLER,9100,4,76376,1389,Alloy
ADESA,BLUE,No,5096,COMPACT,FORD,4900,3,57638,920,Alloy
ADESA,GOLD,No,3688,MEDIUM,FORD,4100,4,96983,1053,Alloy
ADESA,MAROON,No,3589,MEDIUM,GM,4750,5,60733,728,Covers
ADESA,BLUE,No,6591,VAN,GM,5900,3,94094,2495,Covers
ADESA,WHITE,No,6504,MEDIUM,CHRYSLER,6600,3,58039,754,Covers
ADESA,SILVER,No,2390,LARGE,CHRYSLER,4900,8,84853,2193,Alloy
ADESA,SILVER,No,8438,LARGE,GM,7700,3,77150,1974,Alloy
ADESA,SILVER,No,0,MEDIUM SUV,CHRYSLER,6600,6,82522,1503,Covers
ADESA,GREY,No,5770,LARGE,FORD,7800,5,66838,1313,Alloy
ADESA,WHITE,No,5768,SPECIALTY,CHRYSLER,8600,5,80254,1503,Covers
ADESA,GREY,No,8954,MEDIUM,FORD,8100,3,73407,803,Alloy
ADESA,GREY,No,4907,LARGE,GM,6300,5,76322,1974,Covers
ADESA,SILVER,No,5384,MEDIUM SUV,GM,6300,6,94588,1341,Alloy
ADESA,BLACK,No,7654,MEDIUM,CHRYSLER,8000,2,66348,1020,Covers
ADESA,GOLD,Yes,6288,VAN,GM,7900,5,62394,1801,Alloy
ADESA,BLACK,No,6424,LARGE,GM,7650,4,65135,1703,Covers
ADESA,SILVER,No,5114,SPORTS,FORD,5700,6,87947,853,Alloy
ADESA,WHITE,No,3162,MEDIUM,CHRYSLER,4600,5,86983,1243,Alloy
ADESA,GREY,No,9681,SPECIALTY,CHRYSLER,8600,5,80439,1503,Alloy
ADESA,BLACK,No,4271,LARGE,GM,6505,5,73261,1974,Covers
ADESA,BLUE,No,6976,LARGE,FORD,7245,3,77289,1506,Alloy
ADESA,WHITE,No,9259,SPECIALTY,CHRYSLER,10365,3,58803,1086,Covers
ADESA,SILVER,No,5033,VAN,CHRYSLER,5450,4,77753,1623,Covers
ADESA,SILVER,No,3483,MEDIUM,GM,5200,6,66161,1028,Covers
ADESA,WHITE,No,3779,LARGE TRUCK,GM,5625,7,74555,1455,Covers
ADESA,GREY,Yes,11412,CROSSOVER,FORD,8280,2,76301,1506,unkwnWheel
ADESA,SILVER,No,9259,SPECIALTY,CHRYSLER,8150,3,77449,1389,Covers
ADESA,MAROON,No,9259,SPECIALTY,CHRYSLER,10300,3,56808,1086,Covers
ADESA,BLACK,No,4880,VAN,CHRYSLER,6465,4,81221,1763,Covers
ADESA,GREY,No,9020,MEDIUM SUV,GM,8025,3,84948,1243,Alloy
ADESA,SILVER,No,4206,LARGE,GM,6565,5,65027,1703,Alloy
ADESA,BLACK,No,6455,LARGE,GM,7025,3,85392,2152,Covers
ADESA,MAROON,Yes,5163,SMALL SUV,CHRYSLER,7025,6,71137,1220,Alloy
ADESA,BLACK,No,4012,LARGE,GM,6215,5,77739,1974,Alloy
ADESA,RED,No,12853,MEDIUM SUV,CHRYSLER,8340,2,71792,920,Alloy
ADESA,GOLD,No,4335,MEDIUM,OTHER,6015,3,70722,803,Covers
ADESA,BLUE,No,6071,CROSSOVER,CHRYSLER,8435,5,64508,1215,unkwnWheel
ADESA,BROWN,No,6928,LARGE,GM,7725,3,66369,1703,unkwnWheel
ADESA,WHITE,No,4836,COMPACT,GM,5725,3,77077,803,Covers
ADESA,BLUE,No,8807,MEDIUM,GM,8045,2,62719,923,Alloy
ADESA,BLUE,No,7255,MEDIUM,CHRYSLER,6785,2,50330,754,Covers
ADESA,GREEN,No,4572,MEDIUM,CHRYSLER,4870,3,84977,1373,Alloy
ADESA,BLUE,No,7744,VAN,CHRYSLER,7315,2,88689,1763,Covers
ADESA,BLUE,No,7734,MEDIUM,CHRYSLER,6405,3,84785,983,Covers
ADESA,BLUE,No,8313,LARGE,GM,7385,3,61847,1703,Alloy
ADESA,GREY,No,8671,MEDIUM SUV,OTHER,7585,4,57163,1334,Alloy
ADESA,GREY,No,6186,MEDIUM,GM,7245,4,83750,853,Alloy
ADESA,GREY,No,6087,VAN,FORD,6075,4,74909,1506,Covers
ADESA,BLACK,No,7834,SMALL SUV,CHRYSLER,7485,5,70501,920,Alloy
ADESA,RED,No,3664,LARGE,GM,5700,6,55947,1500,Covers
ADESA,RED,No,4345,MEDIUM,CHRYSLER,5470,5,82233,1503,Alloy
ADESA,GOLD,No,5072,MEDIUM,GM,6885,5,88193,1373,Alloy
ADESA,GREY,No,11557,MEDIUM SUV,CHRYSLER,10915,4,79895,1623,Alloy
ADESA,WHITE,No,8882,LARGE,GM,8425,2,73011,1974,Alloy
ADESA,BLUE,No,9242,MEDIUM SUV,GM,9310,4,99126,2351,Alloy
ADESA,WHITE,No,3074,MEDIUM SUV,CHRYSLER,5480,9,92644,2218,Alloy
ADESA,SILVER,No,4887,SMALL SUV,CHRYSLER,7095,6,77183,686,Alloy
ADESA,BLUE,No,5086,MEDIUM,GM,6795,5,83803,594,Covers
ADESA,SILVER,No,7322,MEDIUM,OTHER,7805,3,84049,853,Alloy
ADESA,GOLD,No,6239,LARGE,GM,8910,4,67111,1703,Alloy
ADESA,BLUE,Yes,8755,MEDIUM,CHRYSLER,8005,3,49507,834,Alloy
ADESA,SILVER,No,8062,SPECIALTY,CHRYSLER,9890,4,73447,1389,Covers
ADESA,GREY,No,5368,MEDIUM SUV,GM,8555,7,80114,2452,Alloy
ADESA,GOLD,No,4747,COMPACT,GM,6185,4,66559,728,Covers
ADESA,GREY,No,8384,SPECIALTY,CHRYSLER,9110,4,76661,1389,Covers
ADESA,SILVER,Yes,3343,MEDIUM,CHRYSLER,5630,6,65836,1215,Covers
ADESA,BLUE,No,6155,MEDIUM SUV,CHRYSLER,7905,5,84427,1373,Alloy
ADESA,WHITE,Yes,6029,CROSSOVER,CHRYSLER,9010,5,76737,1389,Alloy
